"Pos","Driver","Location","Region","Club","Starts","Wins","Avg Start","Avg Finish","Avg Pts per Race","Top 25%","Avg Field Size","Laps","Laps Lead","Avg Inc","Class","iRating","ttRating","Club Pts","Total Pts","CustId"
"6952","Derek Greeson","US","Region 3","Georgia","29","2","7","6","41","3","12","758","56","2","B 2.81","1385","1350","58","1181","60084"
"6953","Mia Ott","AU","Region 1","Australia/NZ","16","3","6","6","38","5","12","316","80","3.5","B 2.20","1385","1350","12","614","264193"
"6954","Jake Miller4","US","Region 5","Illinois","65","6","7","7","41","16","12","1543","109","2.43","B 3.36","1385","1350","30","2653","276566"
"6955","Justin Henson3","US","Region 1","Mid-South","260","25","7","7","39","49","13","6572","671","3.65","B 2.73","1385","1350","216","10052","335257"
"6956","Bob Garafolo","US","Region 1","New York","180","7","7","7","36","38","12","3920","251","3.13","B 2.80","1385","1177","230","6477","343799"
"6957","Logan Buck2","US","Region 4","Northwest","67","5","6","7","39","11","12","1396","86","2.33","B 2.81","1385","1350","54","2638","380848"
"6958","Neil Coxworth","CA","Region 2","Canada","35","1","7","7","40","4","12","820","39","2.17","B 2.49","1385","1350","0","1383","408164"
"6959","Simon Black","AU","Region 1","Australia/NZ","3","0","5","6","48","0","10","75","0","0.67","A 3.68","1384","1350","0","144","17455"
"6960","Rob Stewart","US","Region 4","Northwest","13","1","7","6","41","1","12","315","6","1.23","A 2.51","1384","1293","33","533","23597"
"6961","Michael Massey","US","Region 3","Texas","15","0","8","7","42","3","13","323","0","2.93","A 2.37","1384","1350","46","627","37065"
"6962","Lyle Wright","AU","Region 1","Australia/NZ","219","8","8","6","34","30","11","5264","168","2.41","A 2.48","1384","1350","218","7423","64354"
"6963","Ryan Hedrick","US","N/A","Illinois","105","2","8","7","41","19","14","2961","131","2.76","B 4.16","1384","1350","58","4324","119930"
"6964","Xavi Iborra","US","Region 4","Iberia","80","0","9","7","36","10","12","2087","6","1.18","B 4.99","1384","1169","403","2887","120413"
"6965","Jacob McElfresh","US","Region 4","Indiana","23","1","6","6","42","3","12","536","28","2.43","B 2.10","1384","1350","141","974","139802"
"6966","Gavin Windsor","AU","N/A","Australia/NZ","2","0","8","5","45","1","11","46","0","2","B 2.50","1384","1350","1","89","245557"
"6967","Michael Dodson3","US","Region 2","Ohio","58","7","7","7","36","15","12","1176","59","2.38","B 2.65","1384","1192","73","2116","361002"
"6968","Michael K Thompson","US","Region 3","West","644","12","9","8","33","77","13","18138","607","4.42","B 2.35","1384","1350","601","21436","377086"
"6969","Steven Bittner","US","Region 4","Pennsylvania","25","0","7","7","43","6","13","601","13","1.6","B 2.64","1384","1350","4","1076","379629"
"6970","Jack Smith5","US","Region 3","Georgia","194","20","6","7","30","36","12","4122","965","4.09","A 1.52","1384","1189","689","5879","395769"
"6971","Matthew Joy2","AU","Region 1","Australia/NZ","117","1","8","7","38","13","12","2851","35","3.26","A 2.52","1384","1177","30","4460","417460"
"6972","Donny Battiest","US","Region 1","Mid-South","29","6","6","7","37","10","12","607","212","1.38","B 3.49","1384","1294","11","1078","432812"
"6973","Myles Morse","US","Region 5","Atlantic","468","24","7","7","37","76","12","11762","658","3.89","B 2.72","1384","1233","515","17115","437626"
"6974","Cameron Zens","US","Region 4","Great Plains","57","1","7","7","43","6","12","1470","7","2.53","B 3.30","1384","1350","24","2427","505460"
"6975","Jason Withrow","US","Region 4","Great Plains","28","0","7","6","39","5","11","518","0","1.43","A 3.21","1383","1350","19","1096","255776"
"6976","Cody Kennemore","US","Region 2","California Club","30","1","7","7","40","4","12","814","23","3.6","B 2.23","1383","1350","43","1198","273245"
"6977","Milt Matice Jr.","US","N/A","Texas","11","1","8","7","42","1","13","276","35","2.18","A 2.49","1383","1259","14","465","294532"
"6978","Darin Ayers","US","Region 1","Carolina","57","1","8","7","37","8","13","1167","30","2.18","A 2.52","1383","1180","26","2131","317676"
"6979","Brandyn Cunningham","US","Region 1","Florida","86","2","7","8","44","16","13","2273","117","3.72","B 2.51","1383","1279","327","3766","359125"
"6980","Nathan Black","NZ","Region 1","Australia/NZ","47","3","7","7","41","12","12","1108","71","2.55","B 2.45","1383","1350","6","1925","462043"
"6981","Anton Rasmussen2","AU","Region 1","Australia/NZ","42","2","7","7","40","6","12","1035","73","2.57","B 3.27","1383","1243","3","1688","472965"
"6982","Christopher Mullany","US","Region 4","Pennsylvania","61","9","8","8","47","14","14","1510","242","2.95","B 3.13","1383","1350","19","2870","479409"
