"position","name","points","dropped","clubname","countrycode","irating","avgfinish","topfive","starts","lapslead","wins","incidents","division","weekscounted","laps","poles","avgstart","custid"
"202","Patrick Rachels","233","0","Carolina","US","1338","8","2","8","5","0","34","5","6","266","1","8","125432"
"203","Tyler Reason","232","0","Carolina","US","1095","6","12","25","7","1","106","7","4","611","0","6","296191"
"204","Rocky Battenfield","232","0","Great Plains","US","5858","7","4","7","35","1","12","4","5","202","1","8","64463"
"205","Robert Collins2","231","0","Great Plains","US","822","7","1","10","0","0","22","5","8","294","0","8","273480"
"206","Cory Whitworth","227","0","Great Plains","US","3980","5","4","6","11","0","18","5","4","172","0","6","267824"
"207","Jason Brown12","226","0","Ohio","US","1713","7","2","7","13","0","12","5","7","173","1","7","212686"
"208","Elton Fanning","225","0","Mid-South","US","1946","7","1","6","0","0","4","5","5","198","0","8","145447"
"209","Latham Marek","224","0","Florida","US","2735","6","7","13","2","0","46","6","5","323","1","5","302976"
"210","Kasten Parker","224","0","Mid-South","US","2494","6","4","7","0","0","8","7","6","160","0","6","271597"
"211","John Allensworth","223","0","Great Plains","US","1103","6","3","6","72","2","4","6","6","114","2","3","246051"
"212","Jeffrey Baird","223","0","Pennsylvania","US","1881","7","3","10","7","0","20","5","6","304","1","6","295137"
"213","Brandon Little","223","0","Pennsylvania","US","2463","8","2","9","0","0","12","5","5","263","0","8","299891"
"214","Wesley Utt","222","0","Indiana","US","2695","6","2","5","0","0","8","5","4","141","0","5","233839"
"215","George Fehrenbacher","219","0","Indiana","US","4059","4","3","5","35","1","8","6","4","175","1","4","254228"
"216","John Kennedy3","219","0","Illinois","US","2735","4","3","4","0","0","18","4","4","140","0","5","64016"
"217","Marcus Mikulencak","218","0","Texas","US","1873","4","3","4","46","2","10","5","4","140","1","6","173135"
"218","Nick Coffman","216","0","Great Plains","US","1542","4","7","9","5","0","18","5","5","288","0","6","59666"
"219","Nick Groth","215","0","Midwest","US","1569","7","2","8","35","1","38","5","5","247","1","6","95089"
"220","Erik Wenstad","215","0","Texas","US","2095","8","4","23","0","0","50","9","7","690","0","7","301608"
"221","Luke Zike","214","0","West","US","1759","5","4","5","35","1","6","5","4","171","1","5","78348"
"222","Levi Schoenick","214","0","Midwest","US","2642","7","2","4","35","1","4","4","3","115","1","7","272163"
"223","Isaiah Droud","212","0","Carolina","US","2504","7","2","7","0","0","6","4","7","202","0","7","268735"
"224","Adam Elby","211","0","California Club","US","6087","2","7","7","50","2","4","2","2","245","1","3","80993"
"225","Chad Chambers2","210","0","Indiana","US","1258","4","6","6","2","0","14","5","4","204","0","5","300593"
"226","Dylan Williams","210","0","Midwest","US","1618","8","5","13","7","0","48","8","7","225","0","8","268167"
"227","Joshua Johnson6","210","0","Great Plains","US","1903","8","4","13","0","0","22","5","8","296","0","6","271465"
"228","Chase Swafford2","209","0","Mid-South","US","3649","5","5","9","86","3","12","6","4","302","2","5","246545"
"229","Alex Ward","208","0","Pennsylvania","US","1443","8","2","13","0","0","32","5","7","358","0","8","105737"
"230","Khaled Graham","208","0","Great Plains","US","3698","5","2","3","35","1","0","5","3","104","1","3","268687"
"231","Ashley Vickery","208","0","Carolina","US","1938","7","1","6","6","0","6","5","4","152","0","8","253887"
"232","Warren Samoy","207","0","Northwest","US","3377","9","3","20","1","0","46","5","8","417","0","9","297050"
"233","Micah Veleba","207","0","Great Plains","US","1791","7","3","10","0","0","14","5","6","272","0","7","227864"
"234","Barrett Bishop","206","0","Carolina","US","6567","4","4","5","0","0","2","5","3","174","0","5","275393"
"235","Troy Stuckwisch3","206","0","Illinois","US","2330","7","3","9","13","0","24","5","7","214","1","6","293382"
"236","Dusty Wiegert","204","0","Great Plains","US","1537","6","2","5","2","0","14","6","4","174","0","7","269693"
"237","David Carlson","203","0","Carolina","US","2429","7","3","6","0","0","8","5","6","205","0","6","271432"
"238","Robert Henshaw","203","0","Pennsylvania","US","1742","5","2","4","0","0","18","6","4","140","0","7","268837"
"239","Buddy Carle","201","0","Ohio","US","1959","5","5","6","0","0","4","4","4","205","0","7","102354"
"240","Brett Wasness","201","0","Great Plains","US","1735","5","3","5","0","0","0","4","5","139","0","4","266770"
"241","Kollin Stephens","198","0","Great Plains","US","1274","6","3","8","0","0","14","5","5","197","0","5","268189"
"242","Matt Fizell","197","0","Midwest","US","1849","5","5","8","35","1","6","5","4","191","0","5","294416"
"243","Dillon Crook","197","0","Carolina","US","3786","4","3","5","35","1","0","4","3","140","1","4","198551"
"244","Blade Whitt","196","0","Virginias","US","4880","4","8","10","55","1","22","3","2","349","1","4","24011"
"245","Tyler Frye","196","0","Great Plains","US","2044","8","3","8","55","1","22","4","5","174","1","6","148570"
"246","Johnnie Baptista","196","0","California Club","US","1717","6","4","13","0","0","26","5","5","388","1","7","271887"
"247","Corey Ward","196","0","Carolina","US","2829","7","0","6","0","0","4","5","6","196","0","6","268985"
"248","John Rooks","195","0","Georgia","US","1289","8","1","8","0","0","22","6","7","179","0","8","297986"
"249","Craig Yeoman","194","0","Great Plains","US","1049","7","3","8","0","0","26","6","6","178","0","8","273596"
"250","Chad Burt","193","0","Florida","US","2827","5","4","6","0","0","18","5","3","210","0","4","112121"
"251","Chris W Watkins","190","0","Texas","US","2511","5","2","3","0","0","4","5","3","104","0","8","95877"
"252","Kyle Brummett","189","0","Mid-South","US","2025","6","3","6","30","0","26","5","3","178","2","3","105047"
"253","Chris Kuchta","188","0","Midwest","US","3650","6","14","28","35","1","64","5","4","756","1","6","253859"
"254","Scott Burris2","188","0","Midwest","US","4251","2","3","3","35","1","8","5","3","105","1","2","259472"
"255","Ricky Thornton","187","0","West","US","3679","3","5","6","83","2","4","3","2","201","2","4","26742"
